segment_type,horizon_min,n,sufficient_pct,ml_ready_pct,mean_quality,mean_rr_count,mean_mean_rr,mean_std_rr,n_nonempty,mean_outlier_pct_nonempty,median_outlier_pct_nonempty,p95_outlier_pct_nonempty,total_outliers,total_rr,global_outlier_pct
afib,10,388,73.19587628865979,64.43298969072166,86.7237045656332,881.4716494845361,572.9762297481084,128.31494172256748,388,0.29320999823471994,0.0,1.7437814850227602,1490,342011,0.43565850221191715
afib,20,388,67.78350515463917,60.824742268041234,83.67049526030662,1628.2860824742268,573.1653025621372,128.3280008343366,388,0.24337523105707776,0.0,1.1712229366998967,2150,631775,0.34031102845158484
afib,30,388,64.43298969072166,59.02061855670103,81.92246915285818,2330.701030927835,572.7335827313448,128.2221648658422,388,0.23281349512041177,0.0,0.9206456863808961,2697,904312,0.2982377763426782
afib,60,388,55.670103092783506,52.31958762886598,78.51442764178438,4229.167525773196,570.7154214077141,127.98744195029099,388,0.22392588211230707,0.012891297192035345,0.8831109934424899,4002,1640917,0.24388802114915015
afib,120,388,43.55670103092783,42.52577319587629,74.09929211434915,7369.5747422680415,569.0669596741739,128.6264847444672,388,0.21139551851962096,0.020135640888500866,0.6970065119214662,5360,2859395,0.1874522407712121
afib,180,388,33.24742268041237,32.21649484536083,70.77130717231962,9802.463917525773,569.0170919093102,129.03520152915232,388,0.21484936036252572,0.018680969073165896,0.7834348117601067,7053,3803356,0.1854414890428348
both,10,388,66.75257731958763,53.09278350515464,88.7582043444129,1594.590206185567,692.7672282986863,198.93255265601093,388,0.2931928069434669,0.0,1.36830109731963,2286,618701,0.3694838055862202
both,20,388,61.855670103092784,52.0618556701031,87.20894417069765,3052.451030927835,700.9419571608172,197.69470457663505,388,0.251315337003734,0.031089694517774817,0.9976845805580943,3584,1184351,0.3026129922632733
both,30,388,58.50515463917526,48.71134020618557,86.20772641412748,4454.255154639175,707.67785712541,196.12138957717767,388,0.24139157316736742,0.041377894590680295,0.8948445514188421,4850,1728251,0.28063053341210276
both,60,388,50.25773195876289,43.81443298969072,84.1281462593639,8414.038659793814,716.0331052294267,195.32794460516664,388,0.24498387536329821,0.053056682240952634,1.0058306257536003,8599,3264647,0.2633975434403781
both,120,388,38.91752577319588,35.824742268041234,81.54344134515954,15645.085051546392,721.3248904437467,194.7805506866783,388,0.2392103461803577,0.05841706199090535,1.09210506066763,14802,6070293,0.24384325435362017
both,180,388,28.865979381443296,26.288659793814436,79.47170985373184,22036.19845360825,725.252542177349,194.9227215631884,388,0.2381546573538187,0.059690949185646665,1.187919105757509,20363,8550045,0.2381624892032732
pre_afib,10,388,93.55670103092784,59.79381443298969,87.68917870274178,713.1185567010309,789.5101745296926,141.86456039227457,364,0.21982525355702678,0.0,1.136781334476163,796,276690,0.2876865806498247
pre_afib,20,388,93.29896907216495,57.73195876288659,87.55263473634096,1424.1649484536083,790.5117162366292,141.12055845293455,364,0.20353292215216232,0.0,1.031177359590642,1434,552576,0.25951181375955523
pre_afib,30,388,93.04123711340206,57.21649484536082,87.34386736928248,2123.5541237113403,794.1599704178619,139.00963145615373,364,0.20787849284968185,0.0,0.8720699127207019,2153,823939,0.2613057520034857
pre_afib,60,388,91.75257731958763,55.670103092783506,86.79851302258734,4184.871134020618,794.3793887405565,142.1946498722189,364,0.2398809470118022,0.036649476948335216,1.15202077273214,4597,1623730,0.2831135718376824
pre_afib,120,388,89.43298969072166,53.09278350515464,86.11549561839364,8275.51030927835,788.2241601895603,147.18402042778925,364,0.2640930230339142,0.050614544213042,1.24947506122137,9442,3210898,0.29406103837618014
pre_afib,180,388,85.82474226804123,51.28865979381443,85.50189703942999,12233.734536082475,783.7787651746439,150.0019716609704,364,0.2632863880436148,0.05216684557773969,1.4044210373242378,13310,4746689,0.2804059840448785
